GL,Br,Statutory_GL,Statutory_Type,Transaction_Type,Headers
1103,NULL,4426-02,Liability,RRD,NULL
1103,NULL,4426-02,Liability,XOIP,NULL
1103,NULL,4426-02,Liability,XOIR,NULL
1103,NULL,4426-02,Liability,XRCR,NULL
1103,NULL,4426-02,Liability,XRIN,NULL
1103,NULL,4426-02,Liability,YEND,NULL
1104,NULL,4428-01,Liability,B2BT,NULL
1104,NULL,4428-01,Liability,CADJ,NULL
1104,NULL,4428-01,Liability,CLH,NULL
1104,NULL,4428-01,Liability,DEP,NULL
1104,NULL,4428-01,Liability,ES,NULL
1104,NULL,4428-01,Liability,ICR,NULL
1104,NULL,4428-01,Liability,INV,NULL
1104,NULL,4428-01,Liability,IS,NULL
1104,NULL,4428-01,Liability,IV,NULL
1104,NULL,4428-01,Liability,JOE,NULL
1104,NULL,4428-01,Liability,JOV,NULL
1104,NULL,4428-01,Liability,OUPA,NULL
1104,NULL,4428-01,Liability,PMT,NULL
1104,NULL,4428-01,Liability,RCR,NULL
1104,NULL,4428-01,Liability,RDCS,NULL
1104,NULL,4428-01,Liability,RIN,NULL
1104,NULL,4428-01,Liability,RRD,NULL
1104,NULL,4428-01,Liability,XICR,NULL
1104,NULL,4428-01,Liability,XINV,NULL
1104,NULL,4428-01,Liability,XOIP,NULL
1104,NULL,4428-01,Liability,XOIR,NULL
1104,NULL,4428-01,Liability,XPMT,NULL
1104,NULL,4428-01,Liability,XRCR,NULL
1104,NULL,4428-01,Liability,XRIN,NULL
1104,NULL,4428-01,Liability,YEND,NULL
1105,NULL,4423-01,Liability,B2BT,NULL
1105,NULL,4423-01,Liability,PMT,NULL
1105,NULL,4423-01,Liability,XPMT,NULL
1105,NULL,4424-01,Liability,CADJ,NULL
1105,NULL,4424-01,Liability,CLH,NULL
1105,NULL,4424-01,Liability,DEP,NULL
1105,NULL,4424-01,Liability,IV,NULL
1105,NULL,4424-01,Liability,JOE,NULL
1105,NULL,4424-01,Liability,JOV,NULL
1105,NULL,4424-01,Liability,OUPA,NULL
1105,NULL,4424-01,Liability,RDCS,NULL
1105,NULL,4424-01,Liability,RRD,NULL
1105,NULL,4424-01,Liability,XOIP,NULL
1105,NULL,4424-01,Liability,XOIR,NULL
1105,NULL,4424-01,Liability,YEND,NULL
1106,NULL,4426-04,Liability,JOE,NULL
1106,NULL,4426-04,Liability,RCR,NULL
1106,NULL,4426-04,Liability,RIN,NULL
1106,NULL,4426-04,Liability,RRD,NULL
1106,NULL,4426-04,Liability,XRCR,NULL
1106,NULL,4426-04,Liability,XRIN,NULL
1106,NULL,4426-04,Liability,YEND,NULL
1107,NULL,4426-03,Liability,CADJ,NULL
1107,NULL,4426-03,Liability,CLH,NULL
1107,NULL,4426-03,Liability,IV,NULL
1107,NULL,4426-03,Liability,JOE,NULL
1107,NULL,4426-03,Liability,JOV,NULL
1107,NULL,4426-03,Liability,OUPA,NULL
1107,NULL,4426-03,Liability,RCR,NULL
1107,NULL,4426-03,Liability,RDCS,NULL
1107,NULL,4426-03,Liability,RIN,NULL
1107,NULL,4426-03,Liability,RRD,NULL
1107,NULL,4426-03,Liability,XOIP,NULL
1107,NULL,4426-03,Liability,XOIR,NULL
1107,NULL,4426-03,Liability,XRCR,NULL
1107,NULL,4426-03,Liability,XRIN,NULL
1107,NULL,4426-03,Liability,YEND,NULL
1108,NULL,4426-04,Liability,JOE,NULL
1108,NULL,4426-04,Liability,RCR,NULL
1108,NULL,4426-04,Liability,RIN,NULL
1108,NULL,4426-04,Liability,RRD,NULL
1108,NULL,4426-04,Liability,XRCR,NULL
1108,NULL,4426-04,Liability,XRIN,NULL
1108,NULL,4426-04,Liability,YEND,NULL
1110,NULL,411-01,Asset,B2BT,NULL
1110,NULL,411-01,Asset,CADJ,NULL
1110,NULL,411-01,Asset,CLH,NULL
1110,NULL,411-01,Asset,DEP,NULL
1110,NULL,411-01,Asset,ICR,NULL
1110,NULL,411-01,Asset,INV,NULL
1110,NULL,411-01,Asset,IV,NULL
1110,NULL,411-01,Asset,JOV,NULL
1110,NULL,411-01,Asset,OUPA,NULL
1110,NULL,411-01,Asset,PMT,NULL
1110,NULL,411-01,Asset,RDCS,NULL
1110,NULL,411-01,Asset,XICR,NULL
